date,open,close,low,high,volume
2020-02-04,2685.27,2783.29,2685.27,2786.16,3640462.0
2020-02-04,2685.27,2783.29,2685.27,2786.16,3640462.0
2020-02-04,2685.27,2783.29,2685.27,2786.16,3640462.0
2020-02-04,2685.27,2783.29,2685.27,2786.16,3640462.0
2020-02-05,2792.37,2818.09,2778.86,2842.74,3097618.25
2020-02-05,2792.37,2818.09,2778.86,2842.74,3097618.25
2020-02-05,2792.37,2818.09,2778.86,2842.74,3097618.25
2020-02-05,2792.37,2818.09,2778.86,2842.74,3097618.25
2020-02-05,2792.37,2818.09,2778.86,2842.74,3097618.25
2020-02-06,2826.89,2866.51,2807.61,2876.59,3163921.5
2020-02-06,2826.89,2866.51,2807.61,2876.59,3163921.5
2020-02-06,2826.89,2866.51,2807.61,2876.59,3163921.5
2020-02-06,2826.89,2866.51,2807.61,2876.59,3163921.5
2020-02-06,2826.89,2866.51,2807.61,2876.59,3163921.5
2020-02-07,2858.93,2875.96,2838.77,2875.96,3094796.5
2020-02-07,2858.93,2875.96,2838.77,2875.96,3094796.5
2020-02-07,2858.93,2875.96,2838.77,2875.96,3094796.5
2020-02-07,2858.93,2875.96,2838.77,2875.96,3094796.5
2020-02-07,2858.93,2875.96,2838.77,2875.96,3094796.5
2020-02-10,2860.5,2890.49,2851.05,2891.85,2949297.75
2020-02-10,2860.5,2890.49,2851.05,2891.85,2949297.75
2020-02-10,2860.5,2890.49,2851.05,2891.85,2949297.75
2020-02-10,2860.5,2890.49,2851.05,2891.85,2949297.75
2020-02-10,2860.5,2890.49,2851.05,2891.85,2949297.75
2020-02-11,2894.54,2901.67,2882.24,2913.82,2691683.25
2020-02-11,2894.54,2901.67,2882.24,2913.82,2691683.25
2020-02-11,2894.54,2901.67,2882.24,2913.82,2691683.25
2020-02-11,2894.54,2901.67,2882.24,2913.82,2691683.25
2020-02-11,2894.54,2901.67,2882.24,2913.82,2691683.25
2020-02-12,2895.56,2926.9,2892.42,2926.9,2487334.25
2020-02-12,2895.56,2926.9,2892.42,2926.9,2487334.25
2020-02-12,2895.56,2926.9,2892.42,2926.9,2487334.25
2020-02-12,2895.56,2926.9,2892.42,2926.9,2487334.25
2020-02-12,2895.56,2926.9,2892.42,2926.9,2487334.25
2020-02-13,2927.14,2906.07,2901.24,2935.41,2748048.5
2020-02-13,2927.14,2906.07,2901.24,2935.41,2748048.5
2020-02-13,2927.14,2906.07,2901.24,2935.41,2748048.5
2020-02-13,2927.14,2906.07,2901.24,2935.41,2748048.5
